Date,Open,High,Low,Close,Volume
2024-05-01,5029.03,5096.12,5013.45,5018.39,2897659203
2024-05-02,5049.32,5073.21,5011.05,5064.2,2623809616
2024-05-03,5122.78,5139.12,5101.22,5127.79,2454686447
2024-05-06,5142.42,5181,5142.42,5180.74,2196280800
2024-05-07,5187.2,5200.23,5178.96,5187.7,2293458854
2024-05-08,5168.98,5191.95,5165.86,5187.67,2107757418
2024-05-09,5189.03,5215.3,5180.41,5214.08,1975552229
2024-05-10,5225.49,5239.66,5209.68,5222.68,1878510189
2024-05-13,5233.08,5237.26,5211.16,5221.42,1961589631
2024-05-14,5221.1,5250.37,5217.98,5246.68,2035819885
2024-05-15,5263.26,5311.76,5263.26,5308.15,2316274995
2024-05-16,5310.07,5325.49,5296.19,5297.1,2208658193
2024-05-17,5303.1,5305.45,5283.59,5303.27,1970449920
2024-05-20,5305.35,5325.32,5302.4,5308.13,1850085770
2024-05-21,5298.69,5324.32,5297.87,5321.41,1989595940
2024-05-22,5319.28,5323.18,5286.01,5307.01,2094854091
2024-05-23,5340.26,5341.88,5256.93,5267.84,2298491779
2024-05-24,5281.45,5311.65,5278.39,5304.72,1742668171
2024-05-28,5315.91,5315.91,5280.89,5306.04,2121768716
2024-05-29,5278.73,5282.27,5262.7,5266.95,2262811675
2024-05-30,5259.77,5260.21,5222.1,5235.48,2347065836
2024-05-31,5243.21,5280.33,5191.68,5277.51,3926771337
2024-06-03,5297.15,5302.11,5234.32,5283.4,2312234085
2024-06-04,5278.24,5298.8,5257.63,5291.34,2176202870
2024-06-05,5314.48,5354.16,5297.64,5354.03,2173890233
2024-06-06,5357.8,5362.35,5335.36,5352.96,2038598824
2024-06-07,5343.81,5375.08,5331.33,5346.99,1873173209
2024-06-10,5341.22,5365.79,5331.52,5360.79,2464401855
2024-06-11,5353,5375.95,5327.25,5375.32,2345183455
2024-06-12,5409.13,5447.25,5409.13,5421.03,2719670709
2024-06-13,5441.93,5441.93,5402.51,5433.74,2422956962
2024-06-14,5424.08,5432.39,5403.75,5431.6,2263451050
2024-06-17,5431.11,5488.5,5420.4,5473.23,2441679412
2024-06-18,5476.15,5490.38,5471.32,5487.03,2464316280
2024-06-20,5499.99,5505.53,5455.56,5473.17,2911217741
2024-06-21,5466.77,5478.31,5452.03,5464.62,5250419839
2024-06-24,5459.58,5490.66,5447.59,5447.87,2784702853
2024-06-25,5460.73,5472.88,5446.56,5469.3,2621644040
2024-06-26,5460.71,5483.14,5451.87,5477.9,2599403409
2024-06-27,5473.59,5490.81,5467.54,5482.87,2479600758
2024-06-28,5488.48,5523.64,5451.12,5460.48,4197548072
2024-07-01,5471.08,5479.55,5446.53,5475.09,2433991467
2024-07-02,5461.84,5509.69,5458.43,5509.01,2342512009
2024-07-03,5507.44,5539.27,5507.42,5537.02,1561072809
2024-07-05,5537.91,5570.33,5531.63,5567.19,2263729908
2024-07-08,5572.75,5583.11,5562.51,5572.85,2332765276
2024-07-09,5584.24,5590.75,5574.57,5576.98,2413050509
2024-07-10,5591.26,5635.39,5586.44,5633.91,2301402646
2024-07-11,5635.21,5642.45,5576.53,5584.54,2887487972
2024-07-12,5590.76,5655.56,5590.44,5615.35,2472649993
2024-07-15,5638.16,5666.94,5614.75,5631.22,2410721815
2024-07-16,5644.09,5669.67,5639.02,5667.2,2528071451
2024-07-17,5610.07,5622.49,5584.81,5588.27,3173114918
2024-07-18,5608.56,5614.05,5522.81,5544.59,2935073001
2024-07-19,5543.37,5557.5,5497.04,5505,2649224224
2024-07-22,5544.54,5570.36,5529.04,5564.41,2525550865
2024-07-23,5565.3,5585.34,5550.9,5555.74,2425966152
2024-07-24,5505.84,5508.04,5419.98,5427.13,3050597564
2024-07-25,5428.7,5491.59,5390.95,5399.22,3529408636
2024-07-26,5433.67,5488.32,5430.7,5459.1,2644512496
2024-07-29,5476.55,5487.74,5444.44,5463.54,2380028599
2024-07-30,5478.73,5489.46,5401.7,5436.44,3024984923
2024-07-31,5505.59,5551.51,5493.75,5522.3,3466915317
2024-08-01,5537.84,5566.16,5410.42,5446.68,3465998526
2024-08-02,5376.63,5383.89,5302.03,5346.56,4005791030
2024-08-05,5151.14,5250.89,5119.26,5186.33,4013798197
2024-08-06,5206.42,5312.34,5193.56,5240.03,3179578829
2024-08-07,5293.13,5330.64,5195.54,5199.5,2994459938
2024-08-08,5252.57,5328.03,5233.85,5319.31,2714860214
2024-08-09,5314.66,5358.67,5300.84,5344.16,2195024918
2024-08-12,5351.88,5371.2,5324.37,5344.39,2285608247
2024-08-13,5376.98,5436.5,5376.98,5434.43,2602423658
2024-08-14,5442.36,5463.22,5415.91,5455.21,2352132914
2024-08-15,5501.13,5546.23,5501.13,5543.22,2676735788
2024-08-16,5530.5,5561.98,5525.17,5554.25,2290560567
2024-08-19,5557.23,5608.3,5550.74,5608.25,2091521270
2024-08-20,5602.88,5620.51,5585.5,5597.12,2143953087
2024-08-21,5603.09,5632.68,5591.57,5620.85,2043181668
2024-08-22,5637.77,5643.22,5560.95,5570.64,2229614521
2024-08-23,5602.49,5641.82,5585.16,5634.61,2217187088
2024-08-26,5639.66,5651.62,5602.34,5616.84,2019362094
2024-08-27,5602.89,5631.18,5593.48,5625.8,1985907243
2024-08-28,5624.51,5627.03,5560.95,5592.18,2195175203
2024-08-29,5607.3,5646.95,5583.71,5591.96,2330884305
2024-08-30,5612.74,5651.37,5581.79,5648.4,2763540635
2024-09-03,5623.89,5623.89,5504.33,5528.93,2918660358
2024-09-04,5506.68,5552.99,5503.66,5520.07,2507929516
2024-09-05,5520.08,5546.3,5480.54,5503.41,2459175279
2024-09-06,5507.33,5522.47,5402.62,5408.42,2846447424
2024-09-09,5442.07,5484.2,5434.49,5471.05,2596711180
